Tahun Masuk,IPK,SKS,Status Kelulusan
2015,4,118,1
2015,3,116,1
2015,3,98,1
2015,3,122,1
2015,4,77,1
2015,3,49,1
2015,3,119,1
2015,3,117,1
2015,4,80,1
2015,3,18,1
2015,4,55,1
2015,3,71,1
2015,3,51,1
2015,3,58,1
2015,3,60,1
2015,3,60,1
2015,3,56,1
2015,3,95,1
2015,3,95,1
2015,3,99,1
2015,3,102,1
2015,3,99,1
2015,3,99,1
2015,3,117,1
2015,3,117,1
2015,3,117,1
2015,3,120,1
2015,3,101,1
2015,3,51,1
2016,3,8,1
2016,3,72,1
2016,3,112,1
2017,3,84,1
2017,3,38,1
